snapshot,Gn1,Gn2,Gn3
2024-04-11 00:00:00+00:00,75.0,0.0,0.0
2024-04-11 01:00:00+00:00,58.527344,0.0,19.5
2024-04-11 02:00:00+00:00,42.859375,0.0,38.0
2024-04-11 03:00:00+00:00,27.996094,0.0,55.5
2024-04-11 04:00:00+00:00,13.9375,0.0,72.0
2024-04-11 05:00:00+00:00,0.68359375,0.0,87.5
2024-04-11 06:00:00+00:00,0.0,0.0,90.234375
2024-04-11 07:00:00+00:00,0.0,0.0,92.089844
2024-04-11 08:00:00+00:00,0.0,0.0,93.75
2024-04-11 09:00:00+00:00,0.0,0.0,95.214844
2024-04-11 10:00:00+00:00,0.0,0.0,96.484375
2024-04-11 11:00:00+00:00,0.0,0.0,97.558594
2024-04-11 12:00:00+00:00,0.0,0.0,98.4375
2024-04-11 13:00:00+00:00,0.0,0.0,99.121094
2024-04-11 14:00:00+00:00,0.0,0.0,99.609375
2024-04-11 15:00:00+00:00,0.0,0.0,99.902344
2024-04-11 16:00:00+00:00,0.0,0.0,100.0
2024-04-11 17:00:00+00:00,0.0,0.0,99.902344
2024-04-11 18:00:00+00:00,0.0,0.0,99.609375
2024-04-11 19:00:00+00:00,0.0,0.0,99.121094
2024-04-11 20:00:00+00:00,0.0,0.0,98.4375
2024-04-11 21:00:00+00:00,0.0,0.0,97.558594
2024-04-11 22:00:00+00:00,0.0,0.0,96.484375
2024-04-11 23:00:00+00:00,0.0,0.0,95.214844
